City_ID,City,Country,Date,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,7/28/2020 4:58,-21.2,-175.2,73.4,78,75,12.75
1,Namibe,AO,7/28/2020 4:58,-15.2,12.15,63.37,79,0,4.88
2,Upernavik,GL,7/28/2020 4:58,72.79,-56.15,43.68,88,97,3.04
3,Ushuaia,AR,7/28/2020 4:58,-54.8,-68.3,32,91,20,25.28
4,Caruray,PH,7/28/2020 4:58,10.31,119.01,82.83,75,97,3.74
5,Mirabad,AF,7/28/2020 4:58,30.44,61.84,96.6,10,0,15.35
6,Mataura,NZ,7/28/2020 4:58,-46.19,168.86,48,84,100,2.46
7,Lebu,CL,7/28/2020 4:58,-37.62,-73.65,43.45,77,0,12.08
8,Bonavista,CA,7/28/2020 4:58,48.65,-53.11,54.86,91,90,6.93
9,Puerto Leguizamo,CO,7/28/2020 4:58,-0.19,-74.78,70.65,91,25,0.49
10,Madimba,TZ,7/28/2020 4:58,-10.4,40.33,68,88,20,17.22
11,Hermanus,ZA,7/28/2020 4:58,-34.42,19.23,44.01,95,6,6.96
12,Esso,RU,7/28/2020 4:58,55.93,158.7,71.92,35,0,10.92
13,Geraldton,AU,7/28/2020 4:58,-28.77,114.6,68,64,40,9.17
14,Cayenne,GF,7/28/2020 4:57,4.93,-52.33,75.2,100,92,6.85
15,Golden,US,7/28/2020 4:58,39.76,-105.22,73,67,81,3.4
16,Buzovna,AZ,7/28/2020 4:58,40.52,50.11,84.2,62,0,23.04
17,Lorengau,PG,7/28/2020 4:58,-2.02,147.27,83.1,74,56,0.83
18,Akyab,MM,7/28/2020 4:58,20.15,92.9,85.69,73,99,6.46
19,Talcahuano,CL,7/28/2020 4:58,-36.72,-73.12,42.8,75,0,8.05
20,Axim,GH,7/28/2020 4:58,4.87,-2.24,74.37,86,97,10.54
21,Ontario,US,7/28/2020 4:56,34.06,-117.65,71.6,56,20,5.82
22,Cape Town,ZA,7/28/2020 4:58,-33.93,18.42,57.99,93,9,14.99
23,Bluff,NZ,7/28/2020 4:58,-46.6,168.33,48,84,100,3.8
