City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.64,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Mecca,SA,76.84,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
6,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
7,Abu Dhabi,AE,67.96,clear sky,24.4667,54.3667,Beach Rotana
8,Jardim,BR,78.53,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
10,Kailua,US,73.49,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
16,Cape Town,ZA,87.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
17,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
21,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Chicama,PE,68.54,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
26,Vaini,TO,73.56,light rain,-21.2,-175.2,Keleti Beach Resort
27,Paramonga,PE,72.68,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
28,Butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
29,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
31,Goure,NE,79.02,clear sky,13.9835,10.2704,
33,Kilifi,KE,81.09,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
34,Port Elizabeth,ZA,86.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
40,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
41,Bushenyi,UG,73.24,overcast clouds,-0.5853,30.2114,College View Guest House
42,Ixtapa,MX,69.22,few clouds,20.7,-105.2,hotel la terminal
53,Chapada Dos Guimaraes,BR,78.46,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
58,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,East London,ZA,77.94,few clouds,-33.0153,27.9116,Tu Casa
61,Souillac,MU,80.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,Hermanus,ZA,86.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
67,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
68,Constitucion,CL,73.15,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
69,Luanda,AO,81.18,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
70,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
71,Chimore,BO,70.77,overcast clouds,-16.9833,-65.1333,Bichito
72,Sinnamary,GF,81.48,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
76,Yeppoon,AU,71.38,clear sky,-23.1333,150.7333,Villa Mar Colina
77,Ponta Do Sol,PT,69.12,clear sky,32.6667,-17.1,Hotel do Campo
78,Robore,BO,72.09,overcast clouds,-18.3333,-59.75,Hotel Las Lajas
82,Luganville,VU,76.78,light rain,-15.5333,167.1667,The Espiritu Hotel
83,Tocopilla,CL,73.49,clear sky,-22.092,-70.1979,Hotel Galvarino
85,Tecoanapa,MX,77.72,clear sky,16.5167,-98.75,Hotel Manglares
86,Esperance,AU,69.64,clear sky,-33.8667,121.9,Hospitality Esperance
87,Hithadhoo,MV,82.87,scattered clouds,-0.6,73.0833,Scoop Guest House
88,Senador Jose Porfirio,BR,77.77,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
91,Ambatondrazaka,MG,73.06,light rain,-17.8333,48.4167,MANAMBINA Hotel
94,Barra Patuca,HN,78.31,few clouds,15.8,-84.2833,
96,Phon Thong,TH,82.94,few clouds,16.3016,103.9768,ตอตอมอมอ
98,Nieves,PH,73.17,scattered clouds,15.3274,120.9485,Bill's Inn
100,Kirando,TZ,76.66,light rain,-7.4167,30.6,Lakeshore Lodge
101,Bengkulu,ID,77.97,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
102,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
105,Caravelas,BR,86.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
106,Mahibadhoo,MV,82.26,few clouds,3.7833,72.9667,Omadhoo Inn
108,Ambilobe,MG,77.79,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
110,Mitu,CO,85.33,broken clouds,1.1983,-70.1733,
111,Bonthe,SL,88.12,clear sky,7.5264,-12.505,Bonthe Holiday Village
