City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Rikitea,PF,2022-02-06 15:03:51,-23.1203,-134.9692,Clouds,overcast clouds,78.64,72,100,16.46,0.0,0.0
1,Gorzow Wielkopolski,PL,2022-02-06 15:00:11,52.7368,15.2288,Rain,light rain,45.59,77,100,11.01,0.0,0.0
2,Dehloran,IR,2022-02-06 15:03:51,32.6941,47.2679,Clear,clear sky,55.99,45,0,9.75,0.0,0.0
3,Baijiantan,CN,2022-02-06 15:03:52,45.6333,85.1833,Clear,clear sky,5.36,85,3,4.32,0.0,0.0
4,Laguna,US,2022-02-06 15:03:52,38.421,-121.4238,Mist,mist,48.34,91,0,0.0,0.0,0.0
5,Mecca,SA,2022-02-06 15:00:12,21.4267,39.8261,Clear,clear sky,76.84,24,0,14.52,0.0,0.0
6,Atuona,PF,2022-02-06 15:03:52,-9.8,-139.0333,Clouds,few clouds,78.42,74,15,20.51,0.0,0.0
7,Abu Dhabi,AE,2022-02-06 15:00:09,24.4667,54.3667,Clear,clear sky,67.96,63,0,1.99,0.0,0.0
8,Jardim,BR,2022-02-06 15:03:53,-21.4803,-56.1381,Clouds,overcast clouds,78.53,74,100,7.78,0.0,0.0
9,Sobolevo,RU,2022-02-06 15:03:53,54.4299,31.8996,Clouds,overcast clouds,30.11,85,99,11.01,0.0,0.0
10,Kailua,US,2022-02-06 15:03:54,21.4022,-157.7394,Clouds,few clouds,73.49,84,23,1.01,0.0,0.0
11,Busselton,AU,2022-02-06 15:03:54,-33.65,115.3333,Clouds,broken clouds,56.08,74,65,14.56,0.0,0.0
12,Punta Arenas,CL,2022-02-06 15:01:00,-53.15,-70.9167,Clouds,overcast clouds,57.11,76,100,10.54,0.0,0.0
13,Altus,US,2022-02-06 15:03:55,34.6381,-99.334,Clear,clear sky,30.97,81,0,0.0,0.0,0.0
14,Burns Lake,CA,2022-02-06 15:00:14,54.2331,-125.7533,Clouds,scattered clouds,16.11,94,41,3.38,0.0,0.0
15,Vaasa,FI,2022-02-06 15:03:55,63.096,21.6158,Clouds,overcast clouds,33.82,93,100,11.5,0.0,0.0
16,Cape Town,ZA,2022-02-06 15:03:55,-33.9258,18.4232,Clouds,few clouds,87.12,63,21,6.49,0.0,0.0
17,Faanui,PF,2022-02-06 15:03:56,-16.4833,-151.75,Rain,light rain,80.92,74,94,21.25,0.0,0.0
18,Mehran,IR,2022-02-06 15:03:56,33.1222,46.1646,Clear,clear sky,55.2,33,0,11.14,0.0,0.0
19,Marfino,RU,2022-02-06 15:03:57,55.7028,37.3822,Snow,snow,20.95,90,75,4.47,0.0,0.0
20,Bluff,NZ,2022-02-06 15:03:57,-46.6,168.3333,Clear,clear sky,41.81,77,0,6.26,0.0,0.0
21,Puerto Ayora,EC,2022-02-06 15:03:57,-0.7393,-90.3518,Clouds,broken clouds,80.56,90,81,5.01,0.0,0.0
